on_number,hawaiian_phrase,english_phrase,meaning_phrase,headword_link,source_link
119,ʻAno lani; ʻano honua.,A heavenly nature; an earthly nature.,"Said of some ʻaumākua who make themselves visible to loved ones by assuming an earthly form, such as fish, fowl, or animal, yet retain the nature of a god.",haw-a.htm#ano,ON-conc-a-full.htm
120,"Anu hewa i ka pō, he kuʻuna iʻa ʻole.",Feeling the cold air of the night was all in vain; no fish was caught in the net.,A wasted effort.,haw-a.htm#anu,ON-conc-a-full.htm
121,"A nui mai ke kai o Waialua, moe pupuʻu o Kalena i Haleʻauʻau.","When the sea is rough at Waialua, Kalena curls up to sleep in Haleʻauʻau.","Applied to a person who prefers to sleep instead of doing chores. A play on lena (lazy), in Kalena, who was a fisherman, and hale (house) in Haleʻauʻau.",haw-h.htm#hale,ON-conc-h-full.htm
122,"Anu koʻū ka hale, ua hala ka makamaka.","Cold and damp is the house, for the host is gone.",A house becomes sad and forlorn when it is no longer occupied by the host whose welcome was always warm.,haw-a.htm#anu,ON-conc-a-full.htm
123,Anu ʻo ʻEwa i ka iʻa hāmau leo e. E hāmau!,ʻEwa is made cold by the fish that silences the voice. Hush!,A warning to keep still. First uttered by Hiʻiaka to her friend Wahineʻomaʻo to warn her not to speak to Lohiʻau while they were in a canoe near ʻEwa.,haw-a.htm#anu,ON-conc-a-full.htm
124,ʻAʻohe ʻai pani ʻia o ka ʻamo.,No particular food blocks the anus.,All food is good; there is none that hinders evacuation. A rude remark to a very finicky person.,haw-a.htm#amo,ON-conc-a-full.htm
125,ʻAʻohe ʻai waiwai ke hiki mai ka makahiki.,No food is of any value when the Makahiki festival comes.,Enjoy what you have now lest it not be of much use later. Gifts were given to the priests who came in the Makahiki procession of the god Lono. Then all trading and giving ceased. The farmers and fishermen received no personal gain until it was over.,haw-a.htm#aohe,ON-conc-a-full.htm
126,ʻAʻohe ʻalae nāna e keʻu ka ʻaha.,No mudhens cry to disturb the council meeting.,There is no one to create a disturbance. The cry of a mudhen at night is an omen of death in the neighborhood.,haw-a.htm#aha,ON-conc-a-full.htm
127,ʻAʻohe ʻalawa wale iho iā Maliʻo.,Not even a glance at Maliʻo.,"Said of a haughty person. Pele was once so annoyed with Maliʻo and her brother Halaaniani that she turned them both into stone and let them lie in the sea in Puna, Hawaiʻi. It was at the bay named after Halaaniani that clusters of pandanus were tossed into the sea with tokens to loved ones. These were borne by the current to Kamilo in Kaʻū.",haw-a.htm#alawa,ON-conc-a-full.htm
128,ʻAʻohe aʻu ʻala ʻinamona iā ʻoukou.,I do not find even the fragrance of roasted kukui nuts in you.,"I don’t find the least bit of good in you. First uttered by Pele to her sisters, who refused to go to Kauaʻi for her lover, Lohi’au.",haw-a.htm#ala,ON-conc-a-full.htm
129,ʻAʻohe ʻauwaʻa paʻa i ka hālau i ka mālie.,No canoes remain in the sheds in calm weather.,Everybody goes fishing in good weather. Also used when people turn out in great numbers to share in work or play.,haw-a.htm#auwaa,ON-conc-a-full.htm
130,ʻAʻohe e hōʻike ana ka mea hewa ua hewa ia.,The wrongdoer does not tell on himself.,The fire of anger or of love will burn as long as it has something to feed upon.,haw-a.htm#ana,ON-conc-a-full.htm
131,"ʻAʻohe e loaʻa, he uhu pakelo.","He will not be caught, for he is a parrotfish, slippery with slime.",Said of a person too wily and wise to be caught.,haw-l.htm#loaa,ON-conc-l-full.htm
132,ʻAʻohe e loaʻa Niu-a-Kāne iā ʻoe.,Youll never be able to reach Kāne’s coconuts.,"Said of something unattainable. Niu-a-Kāne is a rock islet in the sea at Hāna, Maui.",haw-i.htm#ia,ON-conc-i-full.htm
133,"ʻAʻohe e nalo, he haupeʻepeʻe na kamaliʻi.","Not well hidden, for it is the hiding of little children.","Said of a person of outstanding achievement. Also used in praise of Hāʻupu, Kauaʻi.",haw-h.htm#haupeepee,ON-conc-h-full.htm
134,"ʻAʻohe e nalo, he noʻa na kamaliʻi.","It will not be hidden, for it is a noʻa hidden by children.",Said of a secret that cannot remain hidden. Noʻa is the hidden object in the game of pūhenehene.,haw-k.htm#kamalii,ON-conc-k-full.htm
135,"ʻAʻohe e nalo ka iwi o ke aliʻi ʻino, o ko ke aliʻi maikaʻi ke nalo.","The bones of an evil chief will not be concealed, but the bones of a good chief will.","When an evil chief died, the people did not take the trouble to conceal his bones.",haw-a.htm#alii,ON-conc-a-full.htm
136,"ʻAʻohe e pulu, he waʻa nui.",One will not be wet on a large canoe.,One is safe in the protection of an important person.,haw-n.htm#nui,ON-conc-n-full.htm
137,ʻAʻohe hala ʻula i ka pō.,No hala fruit shows its color in the darkness of night.,Beauty must be seen to be enjoyed.,haw-h.htm#hala,ON-conc-h-full.htm
138,ʻAʻohe hale i piha i ka hoihoi; hāʻawi mai a lawe aku nō.,No house has a perpetual welcome; it is given and it is taken away.,A warning not to wear out one’s welcome.,haw-a.htm#aku,ON-conc-a-full.htm
139,ʻAʻohe hana a Kauhikoa; ua kau ka waʻa i ke ʻaki.,Kauhikoa has nothing more to do; his canoe is resting on the block.,His work is all done.,haw-a.htm#aki,ON-conc-a-full.htm
140,"ʻAʻohe hana a Kauhikoa, ua kau ke poʻo i ka uluna.",Kauhikoa has nothing more to do but rest his head on the pillow.,"Everything is done and one can take his ease. Kauhikoa, a native of Kohala, was a clever person who could quickly accomplish what others would take months to do.",haw-h.htm#hana,ON-conc-h-full.htm
141,ʻAʻohe hana i nele i ka uku.,No deed lacks a reward.,"Every deed, good or bad, receives its just reward.",haw-h.htm#hana,ON-conc-h-full.htm
142,ʻAʻohe hana nui ke alu ʻia.,No task is too big when done together by all.,A call to come together to tackle a given task.,haw-a.htm#alu,ON-conc-a-full.htm
143,ʻAʻohe hua o ka maiʻa i ka lā hoʻokahi.,Bananas do not fruit in a single day.,A retort to an impatient person.,haw-h.htm#hookahi,ON-conc-h-full.htm
144,ʻAʻohe hua waiho i Kahiki.,Not even the eggs should be left in Kahiki.,"Used when inviting all to come — even the little children are welcome. Also, bring everything and leave nothing.",haw-h.htm#hua,ON-conc-h-full.htm
145,"ʻAʻohe ia e loaʻa aku, he ulua kāpapa no ka moana.",He cannot be caught for he is an ulua fish of the deep ocean.,Said in admiration of a hero or warrior who will not give up without a struggle.,haw-a.htm#aku,ON-conc-a-full.htm
146,"ʻAʻohe i hiki i Hakalauʻai, pae ʻē i Keolewa.","Hakalauʻai was never reached, for he landed at Keolewa instead.","Before one could receive sufficient food for all his requirements, he found his efforts suspended. A play on Haka-lau-ʻai (Rack-for-much-food) and Ke-olewa (Suspend-in-space).",haw-e.htm#e,ON-conc-e-full.htm
147,ʻAʻohe ʻike o ka puaʻa nona ka imu e hōʻā ʻia nei.,The pig does not know that the imu is being lighted for it.,Said of a person who is unaware that he is being victimized.,haw-h.htm#hoa,ON-conc-h-full.htm
148,"ʻAʻohe ʻike wale iho iā Maliʻo, i ka huhuki laweau a Uwēkahuna.",Malio is not recognized because Uwēkahuna is drawing her away.,Said of one who refuses to recognize old friends and associates or is snubbed by friends because they have interests elsewhere. Maliʻo was a mythical woman of Puna whom Pele once snubbed. Uwēkahuna is the bluff overlooking the crater of Kīlauea.,haw-h.htm#huhuki,ON-conc-h-full.htm
149,"ʻAʻohe ʻike wale iho i ke kinikini o Kolokini, i ka wawalo o ke kai o Kahalahala.","[He] does not deign to recognize the multitude of Kolokini, nor the roaring of the sea of Kahalahala.",Said of a person who deliberately refuses to recognize kith or kin and goes about with a haughty air.,haw-i.htm#iho,ON-conc-i-full.htm
150,ʻAʻohe i maneʻo iho ke kumu pepeiao i kau hīmeni.,Even the base of the ear isn’t tickled by your song.,A rude remark to one whose song or story is not appealing.,haw-h.htm#himeni,ON-conc-h-full.htm
151,ʻAʻohe ʻīnaʻi komo ʻole o ka ʻai.,There is no meat that doesnt taste good with poi.,"Let it go at that. Used especially with regard to genealogy to mean: Even if one claims kinship with me, it doesn’t matter whether the connection is genuine. My life will continue; I can still eat poi.",haw-i.htm#inai,ON-conc-i-full.htm
152,"ʻAʻohe i nalo ka ʻulaʻula o ka lepo, loaʻa hou nō ka wahine.",The redness of the earth hasnt even vanished when a new wife is obtained.,Said in scorn of a person who takes a new mate shortly after the death of the old one.,haw-h.htm#hou,ON-conc-h-full.htm
153,ʻAʻohe inoa komo ʻole o ka ʻai.,No name prevents food from entering the mouth.,"Similar to the saying, “Sticks and stones may break my bones but names will never hurt me.”",haw-i.htm#inoa,ON-conc-i-full.htm
154,ʻAʻohe i pala ke kope.,The coffee berries arent ripe yet.,Said to or about a child who is not old enough to attract the opposite sex.,haw-k.htm#kope,ON-conc-k-full.htm
155,ʻAʻohe ipu ʻōpio e ʻole ka mimino i ka lā.,No immature gourd can withstand withering in the sun [without care].,No child can get along without adult supervision.,haw-i.htm#ipu,ON-conc-i-full.htm
156,ʻAʻohe kā he lohe o ko pepeiao huluhulu?,Don’t your hairy ears hear?,Said in annoyance or disgust for disobedience or heedlessness. The ears are too full of fuzz to let sounds enter.,haw-h.htm#huluhulu,ON-conc-h-full.htm
157,ʻAʻohe kahe o ka hou i ka ʻōʻō kōhi paʻōʻō a kamaliʻi.,"With the digging implement used by children to dig up leftover potatoes, no perspiration is shed.",Said of a task requiring little effort.,haw-h.htm#hou,ON-conc-h-full.htm
158,ʻAʻohe kahua o nā manu.,There is no place for the birds to light.,It is very crowded.,haw-k.htm#kahua,ON-conc-k-full.htm
159,ʻAʻohe kanaka i ʻeha ʻole i ke aloha.,Nobody has ever missed feeling the pang of love.,Marriage.,haw-a.htm#aloha,ON-conc-a-full.htm
160,ʻAʻohe kanaka kū ākiʻi i ke alo o nā aliʻi.,No idleness or standing about with hands on hips in the presence of chiefs.,Do not procrastinate; make preparations for the future now.,haw-a.htm#akii,ON-conc-a-full.htm
161,"ʻAʻohe kanaka o kauhale, aia i Mānā, ua haohia i ka iʻa iki.","No one is at home, for all have gone to Mānā, attracted there by small fishes.",Said of one who is distracted by an insignificant matter or goes away on any excuse.,haw-h.htm#haohia,ON-conc-h-full.htm
162,"ʻAʻohe kana mai o ka holo o ka lio ia Hanalē; pākahi a ka lio, pālua a ka lio.",How Henry made the horses run; one on a horse or two on a horse.,How hunger (Henry) made the fingers work in conveying poi to the mouth — with one fmger and with two.,haw-h.htm#hanai,ON-conc-h-full.htm
163,ʻAʻohe kāne hānai nalo.,No husband feeds his wife flies.,All husbands have some good qualities.,haw-h.htm#hanai,ON-conc-h-full.htm
164,ʻAʻohe kio pōhaku nalo i ke alo pali.,"On the slope of a cliff, not one jutting rock is hidden from sight.",All is distinctly seen or known; there isn’t any use in being secretive or finding a place to hide.,haw-a.htm#alo,ON-conc-a-full.htm
165,ʻAʻohe kolopā nānā e une.,No crowbar can pry him loose.,Said of a very obstinate person.,haw-k.htm#kolopa,ON-conc-k-full.htm
166,ʻAʻohe komo o kā haʻi puaʻa ke paʻa i ka pā.,Other people’s pigs would not come in if the fence were kept in good repair.,"Be prepared always, and you’ll find yourself free of trouble. Also, evil influence cannot enter when one keeps his own mental realm fortified from within.",haw-h.htm#hai,ON-conc-h-full.htm
167,ʻAʻohe laka o kā haʻi ʻīlio.,Other people’s dogs do not mind you.,Said as a warning to beware of the gods of others.,haw-h.htm#hai,ON-conc-h-full.htm
168,ʻAʻohe lau komo ʻole.,Any leaf goes in.,"Said of one who does not care whether food is clean or unclean, as long as it suppresses hunger.",haw-k.htm#komo,ON-conc-k-full.htm
169,ʻAʻohe lele ka nalo i kamaliʻi.,A fly isn’t made to depart by children.,Said in derision of a person who has no more sense than a child.,haw-k.htm#kamalii,ON-conc-k-full.htm
170,ʻAʻohe lihi i ka pāpaʻa.,Absolutely burned to a crust.,Completely destroyed.,haw-l.htm#lihi,ON-conc-l-full.htm
171,ʻAʻohe lihi ʻike aku i ka nani o Punahoa.,Hasn’t known the beauty of Punahoa.,Used when the charms of a person or place are unknown. Punahoa is an unusually attractive place.,haw-a.htm#aku,ON-conc-a-full.htm
172,ʻAʻohe like o ka ʻili.,The skin is not alike.,"Some Hawaiians have an aversion to wearing someone else’s clothing, not knowing whether they are equals in bloodline, rank, or background. This saying does not express that they are of a different race, only of different family backgrounds.",haw-i.htm#ili,ON-conc-i-full.htm
173,ʻAʻohe loaʻa i ka noho wale.,Nothing is gained by idleness.,"Consider the living, who may be kindly host or friend.",haw-l.htm#loaa,ON-conc-l-full.htm
174,ʻAʻohe loa i ka hana a ke aloha.,Distance is ignored by love.,Marriage.,haw-a.htm#aloha,ON-conc-a-full.htm
175,ʻAʻohe loa i ka leo.,A command [of a chief] disregards distance.,Distance means nothing when the chief gives his command. First said by Hiʻiaka to her sister Kapo in a chant.,haw-l.htm#leo,ON-conc-l-full.htm
176,ʻAʻohe loea i ka wai ʻōpae.,It is no feat to catch shrimps in a freshet.,You don’t need experience to do that job. Shrimps were often taken in great numbers by means of wicker platforms placed across mountain streams. In time of freshets they would be swept onto these platforms and gathered.,haw-l.htm#loea,ON-conc-l-full.htm
177,ʻAʻohe lokomaikaʻi i nele i ka pānaʻi.,No kind deed has ever lacked its reward.,"Said of one who helps a lost person find his way home. The goddess Kaiona, who lived in the Waiʻanae Mountains of Oʻahu, was said to have pet birds who could guide anyone lost in the forest back to his companions.",haw-l.htm#lokomaikai,ON-conc-l-full.htm
178,ʻAʻohe lolena i ka wai ʻōpae.,There must he no slackness when one gathers shrimp in time of a freshet.,Let there be no slackers when there is work to be done. Lazy people don’t get anywhere.,haw-l.htm#lolena,ON-conc-l-full.htm
179,ʻAʻohe māʻalo kanaka o Hoʻokū.,No one passes at Hoʻokū.,"Said of a place that is avoided by people fearing trouble. At Hoʻokū, the smoke and heat of Pele were feared.",haw-h.htm#hookomo,ON-conc-h-full.htm
180,ʻAʻohe mālama pau i ka ʻiole.,No one who takes care of his possessions has ever found them eaten by rats.,When one takes care of his goods he will not suffer losses.,haw-i.htm#iole,ON-conc-i-full.htm
181,"ʻAʻohe ma mua, ʻaʻohe ma hope, ʻaʻohe i ka ʻākau, ʻaʻohe i ka hema.","Nothing before, nothing behind, nothing at the right, nothing at the left.","Utter, absolute poverty.",haw-a.htm#akau,ON-conc-a-full.htm
182,ʻAʻohe māna ʻai loaʻa i ka mea make.,Not even a mouthful of food can be obtained from the dead.,"Consider the living, who may be kindly host or friend.",haw-l.htm#loaa,ON-conc-l-full.htm
183,ʻAʻohe manu noho i ka lipo e pakele i ke kāpiʻo.,No bird of the deep forest can escape his snare.,Said of a person who can win the love of anyone he chooses.,haw-k.htm#kapio,ON-conc-k-full.htm
